title,year,rating,votes,genres,plot,imdb_id
Beastmaster 2: Through the Portal of Time,1991.0,4.1,3674.0,"Action,Adventure,Fantasy,Sci-Fi","Dar is a warrior who can talk to the beasts. He is forced to travel to Earth to stop his evil brother from stealing an atomic bomb and turning their native land from a desert into, well - a desert.",tt0101412
Red Beard,1965.0,8.3,21856.0,Drama,"In 19th-century Japan, a rough-tempered yet charitable town doctor trains a young intern.",tt0058888
Nell,1994.0,6.5,31360.0,Drama,"In a remote woodland cabin, a small-town doctor discovers Nell - a beautiful young hermit-woman with many secrets.",tt0110638
The Prime of Miss Jean Brodie,1969.0,7.6,10555.0,"Comedy,Drama,Romance","Eccentric and well-meaning teacher Jean Brodie's extravagantly romantic ideas about life = and love - overly impress her young pupils in 1930s Edinburgh, bringing her into direct conflict with her school's conservative headmistress.",tt0064840
A Shot in the Dark,1964.0,7.3,31859.0,"Comedy,Crime,Mystery",Bumbling Inspector Jacques Clouseau falls in love with murder suspect Maria Gambrelli and tries to clear her name.,tt0058586
"Francesco, giullare di Dio",1950.0,7.3,4142.0,"Biography,Comedy,Drama,History","A series of vignettes depicting the lives of the original Franciscan monks, including their leader and the bumbling Ginepro.",tt0042477
Shaft,2000.0,6.0,81844.0,"Action,Crime,Thriller",New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.,tt0162650
By Love Possessed,1961.0,5.4,663.0,"Drama,Mystery",Neurotic woman engages in an affair with the law partner of her impotent husband.,tt0054710
Ray Bradbury's Chrysalis,2008.0,4.2,334.0,Sci-Fi,"As our world suffers the ravages of humankind, scientists look for ways to sustain life. When one of them falls ill and a chrysalis forms around him, a tug of war ensues about the future of the stricken scientist.",tt1164089
Aurore,2005.0,7.3,1717.0,Drama,"After her mother's sudden death, Aurore Gagnon is abused by her disturbed stepmother as her town remains in the silence followed by her death. Based on a true story.",tt0430895
The 39 Steps,1935.0,7.6,62913.0,"Crime,Mystery,Thriller","A man in London tries to help a counter-espionage agent, but when the agent is killed and the man stands accused, he must go on the run to save himself and stop a spy ring that is trying to steal top-secret information.",tt0026029
Unforgivable,2021.0,7.1,121777.0,"Crime,Drama,Mystery",A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.,tt11233960
The Lady Vanishes,1938.0,7.7,58465.0,"Mystery,Thriller","While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",tt0030341
Next,2024.0,7.0,6387.0,Drama,"Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. After years of being out of touch, they meet again in an extreme but strangely sweet situation.",tt29439114
The Golden Spiders: A Nero Wolfe Mystery,2000.0,7.5,603.0,"Crime,Drama,Mystery,Thriller","A street kid interrupts Nero Wolfe's dinner with his eyewitness account of a kidnapping. The next day, the boy is dead and his mother comes to the detective with her son's meager savings and dying wish to hire Wolfe to solve his murder.",tt0210714
The Man in Grey,1943.0,6.5,1650.0,"Drama,History,Romance","After a brutish, hedonistic Marquis marries a pretty young Clarissa to act as a 'brood sow,' he begins an affair with her friend who plots to take her place.",tt0036135
The King and the Clown,2024.0,6.8,719.0,"Animation,Adventure,Drama,Family,Fantasy,Musical","Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",tt13186482
Liar Game: The Final Stage,2010.0,7.1,1376.0,"Drama,Thriller","It's time for the final challenge of the Liar Game. Only Akiyama and Fukunaga had earned tickets to participate, but when Yokoya decides to drop out, Nao gets invited to join. Unwilling at first, but when her worry over Akiyama soon overcomes her reluctance. In the final stage, nicknamed the Garden of Eden, a new voting game is set to take place. The game is set up so that all players can win money should they cooperate, but if they don't one player will win big while the others face bigger debts than ever before. It doesn't take long for the lies and backstabbing to begin, and the question remains whether Nao and Akiyama have any hope of winning and finally shut down the Liar Game for good.—Anonymous",tt1423953
Snow Falling on Cedars,1999.0,6.7,14698.0,"Drama,Mystery,Romance,Thriller","A Japanese-American fisherman is accused of killing his neighbor at sea. In the 1950s, race figures into the trial. So does reporter Ishmael.",tt0120834
A Single Man,2009.0,7.5,119364.0,"Drama,Romance,Thriller","An English professor, one year after the sudden death of his boyfriend, is unable to cope with his typical days in 1960s Los Angeles.",tt1315981
Jekyll and Hyde... Together Again,1982.0,6.1,1461.0,"Comedy,Music,Sci-Fi","Dr. Jekyll's research on a drug to avoid surgery yields a powder that transforms his timid self into a sexually uninhibited party animal, complicating his relationships with his fiancée and stripper girlfriend.",tt0084171
The Killers,2023.0,7.6,267718.0,"Crime,Drama,History,Mystery,Romance,Western","When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",tt5537002
Chitty Chitty Bang Bang,1968.0,6.9,51877.0,"Adventure,Family,Fantasy,Musical","A down-on-his-luck inventor turns a broken-down Grand Prix car into a fancy vehicle for his children, and then they go off on a magical fantasy adventure to save their grandfather in a far-off land.",tt0062803
The House of Mirth,2000.0,7.0,8227.0,"Romance,Drama",A woman risks losing her chance of happiness with the only man she has ever loved.,tt0200720
The Good Companions,1980.0,8.5,40.0,"Comedy,Drama,Musical,Romance",A musical adaptation of J. B. Priestley's novel about a British concert party.,tt0373870
The House of Yes,1997.0,6.5,8983.0,"Comedy,Drama,Thriller",A mentally unbalanced young woman - who is convinced she is Jackie Kennedy - flies into a murderous rage when her brother returns home to reveal he is engaged.,tt0119324
Owd Bob,1998.0,6.3,479.0,"Family,Drama","A teen orphan spends the summer on Isle of Man with estranged grandpa. Despite loving dogs, they want summer to end. Boy befriends neighbor girl, but her father has history with grandpa. Locals suspect neighbor's dog kills sheep at night.",tt0119851
The Last Song,2010.0,6.0,93660.0,"Drama,Music,Romance","A rebellious girl is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.",tt1294226
Day of Wrath,1943.0,8.1,11399.0,"Drama,History",The young wife of an aging priest falls in love with his son amidst the horror of a merciless witch hunt in 17th-century Denmark.,tt0036506
This Sporting Life,1963.0,7.5,7301.0,"Drama,Sport","Despite success on the field, a rising rugby star senses the emerging emptiness of his life as his inner angst begins to materialize through aggression and brutality, so he attempts to woo his landlady in hopes of finding reason to live.",tt0057578
Bright Young Things,2003.0,6.5,6478.0,"Comedy,Drama,War","An adaptation of Evelyn Waugh's novel ""Vile Bodies"", is a look into the lives of a young novelist, his would-be lover, and a host of young people who beautified London in the 1930s.",tt0325123
Jud Süß,1940.0,5.0,3424.0,Drama,Infamous anti-Semitic Nazi propaganda historical drama about Duke Karl Alexander of Württemberg and his treasurer Süß Oppenheimer.,tt0032653
Virus,1999.0,5.0,30554.0,"Action,Horror,Sci-Fi,Thriller","After outrunning a typhoon at sea, a strong-willed tugboat navigator and her crew discover a high-tech alien life form that's taken control of a Russian research vessel and aims to destroy on a massive scale.",tt0120458
For Love of the Game,1999.0,6.6,38324.0,"Drama,Romance,Sport","After 19 years of playing the game he's loved his whole life, Detroit Tigers pitcher Billy Chapel has to decide if he's going to risk everything and put everything out there.",tt0126916
The Canterbury Tales,1972.0,6.3,8479.0,"Comedy,Drama,History","Pasolini's artistic, sometimes violent, always vividly cinematic retelling of some of Chaucer's most erotic tales.",tt0067647
Little Lord Fauntleroy,1980.0,7.4,5449.0,"Drama,Family,Romance","An American boy turns out to be the long-lost heir of a British fortune. He is sent to live with the cold and unsentimental Lord, who oversees the trust.",tt0081062
Dylan Dog: Dead of Night,2010.0,5.1,15797.0,"Action,Comedy,Crime,Fantasy,Horror,Mystery,Thriller","The adventures of supernatural private investigator, Dylan Dog, who seeks out the monsters of the Louisiana bayou in his signature red shirt, black jacket, and blue jeans.",tt1013860
His Grace Gives Notice,1924.0,,,Comedy,A butler inherits a dukedom but stays in service to save a Lord's daughter from eloping with a married cad.,tt0225940
Gone to Earth,1950.0,6.9,1571.0,"Drama,Romance","A beautiful, superstitious, animal-loving Gypsy is hotly desired by a fox-hunting squire even after she marries a clergyman.",tt0042513
The Elusive Pimpernel,1949.0,6.0,641.0,"Adventure,Drama,Romance",A British aristocrat goes in disguise to France to rescue people from The Terror of the guillotine.,tt0042432
The Mysterious Dr. Fu Manchu,1929.0,6.0,411.0,"Crime,Romance,Thriller,War","During the Boxer Rebellion in China during the early 20th century, in which a Chinese secret society attacked all westerners and anyone who associated with them, Dr. Fu Manchu's wife and child are killed by foreigners. Enraged, he vows to take his revenge on the British army officers he holds responsible for the killings.—frankfob2@yahoo.com",tt0020197
The Badlanders,1958.0,6.4,1750.0,Western,"Released from the Yuma Prison in 1898, ex-killer John McBain wants to go straight while ex-robber Peter Van Hoek seeks revenge but their destinies eventually converge in the mining town of Prescott.",tt0051393
Don Quixote,2000.0,6.1,1790.0,"Adventure,Comedy,Romance,Drama","Adapted from the work of Miguel de Cervantes, this is the story of a hidalgo, fanatic for chivalry novels, who loses his sanity and believing to be a knight named Don Quixote de La Mancha, decides to go on imaginary adventures along with his friend, the simple farmer Sancho Panza, who becomes his squire. On their journeys, they rescue dames in distress in honorable acts and fight giants among other perils, with Don longing to be with the love of his life, lady Dulcinea, and Sancho waiting to be rewarded with an island where he's about to become a governor.—Rodrigo Amaro",tt0181212
The Ballad of the Sad Cafe,1991.0,5.9,898.0,"Comedy,Drama,Mystery","A tangled triangle. In the rural South of the early 20th century, Miss Amelia is the town eccentric, selling corn liquor and dispensing medicine. She takes in her half-sister's son, a diminutive crook-back named Lymon. He suggests they open a café in the downstairs of her large house. Marvin Macy gets out of prison and returns to town; turns out he was married to Amelia but it wasn't consummated. He pleaded, then got angry. Is he back for revenge? Eventually, Amelia and Marvin stage a no-holds-barred fight in the café. Lymon's complicated response to Marvin and to Cousin Amelia figures in the resolution.—<jhailey@hotmail.com>",tt0101404
The Cheetah Girls: One World,2008.0,4.7,4957.0,"Comedy,Drama,Family,Musical",The girl group travel to India to star in a Bollywood movie - but end up competing for the same part.,tt1013542
My Memories of Old Beijing,1983.0,7.7,549.0,Drama,"Yingzi is a young, impressionable girl living on the southern side of Beijing in the late 1920s. Encountering people in the city, she tries to understand how people are really like inside through her own eyes.",tt0085326
K2,1991.0,6.2,7365.0,"Adventure,Drama,Sport","A U.S. climbing team, funded by millionaire Clairborne is determined to conquer K2.",tt0102178
Ten Little Indians,1974.0,5.7,3629.0,"Crime,Mystery,Thriller","Ten people are invited to a hotel in the Iranian desert, only to find that an unseen person is killing them one by one. Could one of them be the killer?",tt0072263
Dokter Vlimmen,1978.0,6.2,262.0,Drama,"Doctor Vlimmen, the nearest Dutch equivalent to All Creatures Great and Small, is about the competent veterinarian of that name in the Dutch countryside, whose modern methods, liberal opinions and private life are considered scandalous by many of the conservative-Christian peasants. His socially more acceptable colleague Dr. Treeborg, who cares less for the animals and their rather poor owners, is thus more likely to be appointed at the public slaughterhouse and thus made untouchable, and both vets prepare legal action against each-other, thus involving Vlimmens only friend, a lawyer with whom he regularly visits Antwerp.—KGF Vissers",tt0077449
Vice Versa,1988.0,5.9,10803.0,"Comedy,Fantasy","Divorced executive Marshall and his 11-year-old son Charlie casually touch a magical Tibetan skull, releasing a mysterious power that transfers Marshall's mind to Charlie's body and vice versa. Their problems have just begun.",tt0096380
Inkheart,2008.0,6.1,83376.0,"Adventure,Family,Fantasy","A teenage girl discovers her father has an amazing talent to bring characters out of their books and must try to stop a freed villain from destroying them all, with the help of her father, her aunt, and a storybook's hero.",tt0494238
The Little Princess,1939.0,7.1,6895.0,"Comedy,Drama,Family,Musical","A little girl is left by her father in an exclusive seminary for girls while he fights in the Second Boer War. Later, after he is presumed dead, she is forced to become a servant.",tt0031580
The Bone Collector,1999.0,6.7,190454.0,"Crime,Drama,Mystery,Thriller",A quadriplegic ex-homicide detective and his partner try to track down a serial killer who is terrorizing New York City.,tt0145681
Red Dog,2011.0,7.3,19855.0,"Biography,Comedy,Drama,Family,Romance",Based on the legendary true story of the Red Dog who united a disparate local community while roaming the Australian outback in search of his long lost master.,tt0803061
King Richard and the Crusaders,1954.0,5.5,936.0,"Adventure,Family,History,Romance,War","While leading the Third Crusade, King Richard the Lionheart (George Sanders) battles treachery in his own camp as well as the Saracens and their charismatic leader Emir Hderim Sultan Saladin (Sir Rex Harrison).",tt0047150
Pula Rangadu,1989.0,5.6,10.0,Romance,,tt1580008
The Five Forty-Eight,2018.0,,,"Short,Drama",,tt9239272
You Can't See 'round Corners,1967.0,7.7,13.0,"Drama,History",Drama series You Can't See Around Corners saw much of it's plot centering around a young woman's love affair with an army deserter at the height of the Vietnam war.,tt0062511
Wife for a Night,2023.0,,,Reality-TV,,tt32598346
Last Orders,2001.0,6.9,6871.0,Drama,A group of old friends reminisce about their lives over the years after the death of one of their crew.,tt0253200
12:01 PM,1990.0,7.6,1540.0,"Short,Sci-Fi,Thriller",Myron Castleman is stuck reliving the same 59 minutes of his lunch break.,tt0098962
Musketeers Twenty Years After,2008.0,3.2,1602.0,"Drama,Fantasy,Sci-Fi","Everything that could go wrong did go wrong: War, Terrorism, Natural Disasters. Evacuees were ushered from the cities to refugee camps in the surrounding counties. In-fighting, famine and disease took their toll on the survivors. Now, twenty years after the bombs fell and the plagues ran their course the few that remain live in fear and without hope. Azura Skye stars as Sarah in this Post-Apocalyptic Fairy Tale about a young woman's journey to deliver the first child born in 15 Years. Sarah's refusal to give up is inspired by a lone voice on her radio. Michael broadcasts dim and distant messages of hope mixed with the music he scavenges from the dead. Forced from her basement home by drought and relentlessly pursued by those who want her baby, Sarah crosses paths with Michael in a cavernous, underground refuge of disparate survivors. It is from Three Caves that Michael and Sarah will embark on a journey beyond the boundaries of the Southern Corridor and into the unknown future.—Anonymous",tt0825279
The Little Girl Who Conquered Time,1976.0,7.0,18729.0,"Drama,Horror,Mystery,Thriller","A thirteen-year-old girl, who lives with her absentee father, befriends a disabled teenage amateur magician and invites him, gradually, into her tenuous struggle against a predatory local neighbor.",tt0074806
Mausam,2011.0,4.8,5702.0,"Drama,Romance,War","A war, religious conflicts, and misunderstandings create obstacles for a couple of different faiths.",tt1627924
La Guerra del cerdo,1975.0,7.1,99.0,Drama,"In an alternative reality, a man who is entering old age faces a society in which the young eliminate the old.",tt0072878
My Friend Flicka,1955.0,7.3,194.0,Western,"Set in Wyoming about 1900, this was a story about young Ken McLaughlin and his horse Flicka. Ken lived on a ranch with his parents Rob and Nell and the ranch-hand Gus and had many an adventure.",tt0048887
Queen of the Damned,2002.0,5.3,61631.0,"Drama,Fantasy,Horror","In this loose sequel to Interview with the Vampire (1994), the vampire Lestat becomes a rock star whose music wakes up the equally beautiful and monstrous queen of all vampires.",tt0238546
Dancing at Lughnasa,1998.0,6.3,4195.0,"Drama,Romance",Five unmarried sisters make the most of their simple existence in rural Ireland in the 1930s.,tt0120643
All Men are Mortal,1995.0,4.8,185.0,Drama,"Melodrama about a man cursed with immortality, who tries to declare his undying love for a depressed actress.",tt0112323
Easy Virtue,2008.0,6.6,22777.0,"Comedy,Romance","A young Englishman marries a glamorous American. When he brings her home to meet the parents, she arrives like a blast from the future - blowing their entrenched British stuffiness out the window.",tt0808244
Pippi in the South Seas,1970.0,6.9,5743.0,"Adventure,Comedy,Drama,Family,Fantasy","With the help of her friends Tommy and Annika, Pippi Longstocking ventures to the South Pacific island Porto Piluse to rescue her father, who was captured by ruthless pirates.",tt0066227
The Man in the Gray Flannel Suit,1956.0,7.1,4215.0,"Drama,Romance,War",An ex-soldier faces ethical questions as he tries to earn enough to support his wife and children well.,tt0049474
Gymkata,1985.0,4.4,4735.0,"Action,Thriller",An American gymnast travels to the distant land of Parmistan to compete in a deadly game not won by a foreigner in more than nine hundred years.,tt0089243
Whip It!,2009.0,6.9,71017.0,"Drama,Sport","In Bodeen, Texas, an indie-rock-loving misfit finds a way of dealing with small-town misery after discovering a roller derby league in nearby Austin.",tt1172233
The Lords of Discipline,1983.0,6.6,3031.0,Thriller,"In 1960s America, a black cadet is allowed acceptance into a seemingly prestigious military academy, unleashing a barrage of corruption within the system that another cadet is willing to expose.",tt0085867
Yakshi – Faithfully Yours,2012.0,3.7,50.0,"Horror,Romance,Sci-Fi,Thriller","The classic mythological symbol of lust Naga-Yakshi, who comes down to earth on gandharva yamam and mates with virgin boys and kills them straight away after having her orgasm.",tt2448852
The Inugamis,1976.0,7.1,1213.0,"Crime,Drama,Horror,Mystery","When a tycoon passes away, he unexpectedly leaves the family fortune to outsider Tamayo on the condition that she marries one of the grandsons, pitting blood against blood.",tt0074691
She-Devil,1989.0,5.7,19683.0,Comedy,A surprisingly resourceful housewife vows revenge on her husband when he begins an affair with a wealthy romance novelist.,tt0098309
Kung Fu Cult Master,2022.0,5.1,591.0,"Action,Fantasy","Wudang master Zhang Cuishan who lives in the Shangri-La Ice and Fire Island with his family, away from the dissension and bloodshed, ambushed and leaving his young son Zhang Wuji orphaned.",tt12292314
Hakuchi,1951.0,7.1,5841.0,"Drama,Romance","A Japanese veteran, driven partially mad from the war, travels to the snowy island of Hokkaido where he soon enters a love triangle with his best friend and a disgraced woman.",tt0043614
Laura,1979.0,5.6,1443.0,"Drama,Romance","Sculptor Paul is reunited with a former great love after a long time, but is much more impressed by his 15-year-old daughter, Laura, who looks like her mother when Paul was in love with her.",tt0079449
Promise at Dawn,2017.0,7.1,4002.0,"Biography,Drama,Romance,War","A man recounts his life, from his childhood through his experiences in World War II, and the story of his self-sacrificing mother, who raised him alone.",tt5061360
The Prize,1963.0,6.8,5456.0,"Crime,Drama,Mystery,Thriller","As the Nobel Prize winners come to Stockholm to receive their awards, their lives are overturned and perturbed in various ways.",tt0057426
The Mirror Crack'd,1980.0,6.2,10072.0,"Crime,Mystery,Thriller","Miss Jane Marple comes to solve the mystery when a local woman is poisoned, but a visiting movie star seems to have been the intended victim.",tt0081163
L'uccello dalle piume di cristallo,1970.0,7.1,25228.0,"Horror,Mystery,Thriller","An American writer vacationing in Rome attempts to unmask a serial killer he witnessed in the act of an attempted murder, and who is now hunting him and his girlfriend.",tt0065143
I giorni dell'abbandono,2005.0,5.9,573.0,Drama,Olga's life is shattered when her husband abandons her. This prompts her to fall into a period of self-degradation and self-destructive behaviors.,tt0474694
Zorba the Greek,1964.0,7.6,24557.0,"Comedy,Drama",A reserved English writer travelling to Crete on a matter of business finds his life changed forever when he meets the gregarious Alexis Zorba.,tt0057831
Bobby Deerfield,1977.0,5.8,4824.0,"Drama,Romance","Bobby Deerfield, a Formula 1 driver, quits racing after his teammate dies in a crash. He meets Lillian at a medical facility, falls for her, and their relationship takes an unexpected turn when he learns why she's there.",tt0075774
The Emperor's Candlesticks,1937.0,6.5,848.0,"Drama,History,Romance,Thriller",A male Polish secret agent and a female Russian secret-police spy smuggle messages to St. Petersburg in candlesticks. While chasing after stolen candlesticks they discover each other's identity and fall in love.,tt0028829
The End of the Affair,1999.0,7.0,24416.0,"Drama,Mystery,Romance",A desperate man tries to find out why his beloved left him years ago.,tt0172396
The Dark,2008.0,9.0,2958808.0,"Action,Crime,Drama,Thriller","When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",tt0468569
Under My Skin,2020.0,6.1,965.0,Drama,"Denny, a free spirit and artist falls for Ryan, a strait-laced lawyer. When Denny questions gender their love is tested.",tt10332272
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,8.3,531249.0,"Comedy,War","An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",tt0057012
La Religieuse,2013.0,6.5,2021.0,Drama,"1760s France. Suzanne is shocked when her bourgeois family sends her to a convent. There she faces oppression and torment, leading her to fight back and expose the dehumanizing effect of cloistered life.",tt2215221
Stork,1971.0,5.7,217.0,Comedy,"A gangly, awkward, would-be revolutionary loses his virginity to the vivacious hippie girlfriend of his two flatmates, and becomes hell-bent on sabotaging her wedding to one of them.",tt0067795
False Light,1993.0,5.4,94.0,Drama,"A young student is intrigued by a prostitute who works in the red light district, then falls in love with her. A relationship that's much harder to maintain than he thought.",tt0104227
"Hello, I'm Your Aunt!",1975.0,7.4,1876.0,Comedy,"Unemployed and homeless Babbs Baberley (Alexander Kalyagin) is being chased by the police who attempt to arrest him for vagrancy. Babbs finds himself in a rich house, where he encounters Charlie and Jackie. Babbs' unsuccessful attempt to disguise himself as a woman gives Charlie and Jackie an idea. By threatening to surrender Babbs to the (successfully bribed) police, they force their unexpected visitor to dress once again as a woman and pass himself for Donna Rosa d'Alvadorez, Charlie's millionaire aunt who is expected to arrive with a visit from Brazil. Charlie and Jackie want Babbs to seduce Judge Criggs (Armen Dzhigarkhanyan) with the irresistible charms of a millionaire widow and to trick the Judge into giving his nieces, Annie and Betty, a permission to marry Charlie and Jackie.—Burly.",tt0073927
Lolita,1997.0,6.8,68862.0,"Drama,Romance","An English professor falls for a minor, and has to face the consequences of his actions.",tt0119558
Bee Season,2005.0,5.5,7301.0,"Drama,Family",Wife and mother Miriam begins a downward emotional spiral as her husband avoids their collapsing marriage by immersing himself in his 11-year-old daughter's quest to become a spelling-bee champion.,tt0387059
The Last Tycoon,2016.0,7.5,5850.0,Drama,"Centers on Hollywood's first wunderkind studio executive in the 1930s, Monroe Stahr, and the power struggle between him, his mentor, and current head of the studio, Pat Brady.",tt3390892
Destiny of a Man,2024.0,7.7,309.0,"Drama,History,Thriller,Western",President Johnson interferes with Lincoln's vital plans. Stanton's health deteriorates as he closes in on Booth.,tt21970892
